"cell.id","temp_c_mean_idw","humidity_mean_idw","rain_24h_mean_idw","water_tank_density","proportion_no_waste_collection","number_households_no_mains_water_connection","proportion_households_no_sewage_collection","human_population","average_literacy","average_household_income","elevation","proportion_highways","proportion_water_bodies","proportion_flood_prone","proportion_residential","proportion_vegetation","proportion_favela","proportion_non_residential","built_volume_density","nres_built_volume_density","proportion_buildings_over6m","neighbouring_wmel_pctg_mean_avg","breeding_container_sum","wind_speed_mean_idw"
238,24.5571654446595,76.041470756125,3.41095791731676,31.4011421203613,0.000175135341397687,378.867743062921,0.0124376548500413,4048.84840144178,248.03236278609,3105.05888935113,74.5397452434699,NA,0.0170042666641962,0,0.244598525600619,0.185014332151015,0.532066733687619,0.0151965020959813,516.456697942751,0,0.373184665750963,0.0730016509201777,50,4.12612487180009
239,24.5751444882287,76.1022303268538,3.38758281057378,30.9178485870361,0.00529803553933979,19.9098065501207,0.427036196312718,7657.6029293496,463.457226490566,3079.91959484585,47.6486604777591,NA,0,0,0.386185876991158,0,0.569465410739275,0.0228266767889254,689.436782363229,0,0.574173320821895,0.0864062029011186,51,4.14630219451249
240,24.5915720400378,76.162087199711,3.38114432495035,4.99066591262817,0.00348834864206731,0,0,2745.19359029576,183.638880830151,3044.51,52.5932937470123,0.0346176008687701,0,0,0.833277457049914,0,0,0.182519026897174,489.773138877866,3.43304772228406,0.544885513292441,0.109646009819049,96,4.16721394273745
241,24.6062083776581,76.2189790701704,3.3892086684048,7.17980623245239,0,0,0,2611.10930526655,177.131881816023,3044.97972357339,26.9470797774082,0.1181307680897,0,0,0.882553237084127,0,0,0.161461506991811,493.491536552522,15.4610052401186,0.511952396604487,0.0954782043791125,141,4.18862526630407
242,24.6188065797557,76.2711668868419,3.40503615230589,7.62192010879517,0,0,0,2357.81608695698,160.863112668739,3063.71627327174,15.5569519640594,0.0666261772025271,0,0,0.93570813162143,0,0,0.0439699622142566,536.643875136989,9.68479286008665,0.534579505421604,0.0908917399028243,131,4.21034052655688
243,24.6291553202959,76.3173043037966,3.4225478511312,10.0441904067993,0,0,0,2627.58189716909,175.772189584008,2964.43539852944,16.5324429239524,NA,0,0,0.975203243886986,0,0,0.0345480108768595,475.740120230679,2.15860204864271,0.578748135138473,0.11186941583457,192,4.23219847898071
244,24.6371174434967,76.3564955242446,3.4223758570242,10.9624366760254,0,0,0,2186.2026092631,142.086800604258,2668.92760191305,8.67209699787658,0.0417940994011838,0,0,0.680842252338746,0,0.0922052057397182,0.228635118360511,448.763725229757,14.6177027818288,0.533948339720733,0.116604708581395,99,4.25406749417023
245,24.6426563534183,76.388319850111,3.43320505223606,3.55798053741455,0,0,0,1248.68342816714,81.4142967529495,2835.88185664358,5.52241677226126,0.103860428703988,0.0400177807670578,0,0.182811378186143,0,0.0837617515010011,0.69822204611137,490.017685404009,172.939658262478,0.483736302640728,0.119926112293424,60,4.27584109554306
246,24.4747342632302,75.6458189868165,3.56944062736076,6.0652928352356,0.0274069261076796,0,0.0341085934756548,1741.88109190679,110.348919461121,2146.80995585618,14.2376196086319,0.0172320922693446,0.0116382427391401,0,0.200133123552422,0,0.0492086179207797,0.534723999469523,559.101520192892,185.810420382037,0.519632750575008,0.0436289900575615,12,4.0108074241721
247,24.4948923354082,75.693435521253,3.51589990841251,30.9490432739258,0.000455473752059231,0.23154264606775,0.00469203802926094,5075.50445335152,315.163942861576,1600.38691746756,30.7542089672428,NA,0,0,0.202865045776198,0,0.603711583627258,0.171643117676674,746.572556575824,9.48527035944628,0.524196522815588,0.00878010878010877,34,4.02725263440227
