system:index,DSM,cell_id,.geo
00000000000000000026,4.9919711740667,64.0,"{""type"":""Polygon"",""coordinates"":[[[-43.168143960291296,-22.78971861244491],[-43.168083572666575,-22.79423634829905],[-43.16321588522732,-22.794180327240554],[-43.1632764265252,-22.789662590148478],[-43.168143960291296,-22.78971861244491]]]}"
00000000000000000027,3.4526685481342114,356.0,"{""type"":""Polygon"",""coordinates"":[[[-43.31410944151589,-22.800361340182693],[-43.30923628324911,-22.80030980356092],[-43.30929200528134,-22.79579618676192],[-43.31416493702242,-22.795847751455714],[-43.31410944151589,-22.800361340182693]]]}"
00000000000000000028,3.225306762906007,362.0,"{""type"":""Polygon"",""coordinates"":[[[-43.30923628324911,-22.80030980356092],[-43.304368031347835,-22.800258058320725],[-43.30442390622895,-22.795744438580616],[-43.30929200528134,-22.79579618676192],[-43.30923628324911,-22.80030980356092]]]}"
00000000000000000029,6.170409155039969,121.0,"{""type"":""Polygon"",""coordinates"":[[[-43.241120181380815,-22.795058780352754],[-43.24599295677633,-22.795112437763937],[-43.245935245525544,-22.799625870046018],[-43.241062316914736,-22.799572142159978],[-43.241120181380815,-22.795058780352754]]]}"
0000000000000000002a,5.847533913785852,130.0,"{""type"":""Polygon"",""coordinates"":[[[-43.241120181380815,-22.795058780352754],[-43.241062316914736,-22.799572142159978],[-43.23619422993659,-22.799518379208692],[-43.23625232145395,-22.795004917811703],[-43.241120181380815,-22.795058780352754]]]}"
0000000000000000002b,6.10404831105893,138.0,"{""type"":""Polygon"",""coordinates"":[[[-43.23625232145395,-22.795004917811703],[-43.23619422993659,-22.799518379208692],[-43.231326113976834,-22.79946447089234],[-43.23138435876653,-22.794951080350877],[-43.23625232145395,-22.795004917811703]]]}"
0000000000000000002c,7.980250974582381,146.0,"{""type"":""Polygon"",""coordinates"":[[[-43.23138435876653,-22.794951080350877],[-43.231326113976834,-22.79946447089234],[-43.226458116851234,-22.799410367643855],[-43.22651651494085,-22.794896975233947],[-43.23138435876653,-22.794951080350877]]]}"
0000000000000000002d,7.977074776610745,155.0,"{""type"":""Polygon"",""coordinates"":[[[-43.22651651494085,-22.794896975233947],[-43.226458116851234,-22.799410367643855],[-43.22158521795638,-22.799356080465554],[-43.2216437693793,-22.794842686007122],[-43.22651651494085,-22.794896975233947]]]}"
0000000000000000002e,16.197188934017163,167.0,"{""type"":""Polygon"",""coordinates"":[[[-43.2216437693793,-22.794842686007122],[-43.22158521795638,-22.799356080465554],[-43.216717163249456,-22.799301686345938],[-43.21677594187019,-22.794788338175692],[-43.2216437693793,-22.794842686007122]]]}"
0000000000000000002f,20.78980539861896,176.0,"{""type"":""Polygon"",""coordinates"":[[[-43.21677594187019,-22.794788338175692],[-43.216717163249456,-22.799301686345938],[-43.21184915407661,-22.799247194947146],[-43.21190808608749,-22.794733845108816],[-43.21677594187019,-22.794788338175692]]]}"
00000000000000000030,6.593409625333125,185.0,"{""type"":""Polygon"",""coordinates"":[[[-43.21190808608749,-22.794733845108816],[-43.21184915407661,-22.799247194947146],[-43.206976316067674,-22.799192494240003],[-43.207035401502054,-22.794679069738354],[-43.21190808608749,-22.794733845108816]]]}"
00000000000000000031,6.66471648012254,1.0,"{""type"":""Polygon"",""coordinates"":[[[-43.207035401502054,-22.794679069738354],[-43.206976316067674,-22.799192494240003],[-43.20210839803371,-22.799137589682264],[-43.20216756304957,-22.794624261243154],[-43.207035401502054,-22.794679069738354]]]}"
00000000000000000032,11.480373632306131,3.0,"{""type"":""Polygon"",""coordinates"":[[[-43.20216756304957,-22.794624261243154],[-43.20210839803371,-22.799137589682264],[-43.19724037833408,-22.799082637465766],[-43.197299770687,-22.794569355604228],[-43.20216756304957,-22.794624261243154]]]}"
00000000000000000033,6.0230321596494605,7.0,"{""type"":""Polygon"",""coordinates"":[[[-43.197299770687,-22.794569355604228],[-43.19724037833408,-22.799082637465766],[-43.19237247874156,-22.799027490448474],[-43.19243195071698,-22.794514231961546],[-43.197299770687,-22.794569355604228]]]}"
00000000000000000034,4.8813607148455835,14.0,"{""type"":""Polygon"",""coordinates"":[[[-43.19243195071698,-22.794514231961546],[-43.19237247874156,-22.799027490448474],[-43.187499675249825,-22.798972230940056],[-43.18755937463754,-22.794458873267633],[-43.19243195071698,-22.794514231961546]]]}"
00000000000000000035,9.025455275927644,26.0,"{""type"":""Polygon"",""coordinates"":[[[-43.18755937463754,-22.794458873267633],[-43.187499675249825,-22.798972230940056],[-43.182631794315,-22.798916768493736],[-43.18269164725867,-22.794403482389598],[-43.18755937463754,-22.794458873267633]]]}"
00000000000000000036,28.331161330822326,37.0,"{""type"":""Polygon"",""coordinates"":[[[-43.18269164725867,-22.794403482389598],[-43.182631794315,-22.798916768493736],[-43.177763886251945,-22.798861233689244],[-43.17782389277922,-22.794347946381887],[-43.18269164725867,-22.794403482389598]]]}"
00000000000000000037,28.585213983382967,48.0,"{""type"":""Polygon"",""coordinates"":[[[-43.17782389277922,-22.794347946381887],[-43.177763886251945,-22.798861233689244],[-43.17289114727473,-22.79880548819278],[-43.17295130741899,-22.794292199506216],[-43.17782389277922,-22.794347946381887]]]}"
00000000000000000038,1.3403494014475743,57.0,"{""type"":""Polygon"",""coordinates"":[[[-43.17295130741899,-22.794292199506216],[-43.17289114727473,-22.79880548819278],[-43.16802325888351,-22.798749565206425],[-43.168083572666575,-22.79423634829905],[-43.17295130741899,-22.794292199506216]]]}"
00000000000000000039,7.315037895899206,328.0,"{""type"":""Polygon"",""coordinates"":[[[-43.34814322238746,-22.805231854969648],[-43.34326977255686,-22.805181322250505],[-43.34332435181843,-22.80066765829669],[-43.34819757537529,-22.800718219579952],[-43.34814322238746,-22.805231854969648]]]}"
0000000000000000003a,6.3894311954249545,330.0,"{""type"":""Polygon"",""coordinates"":[[[-43.34326977255686,-22.805181322250505],[-43.33840122451649,-22.80513065171943],[-43.33845595642534,-22.80061698434894],[-43.34332435181843,-22.80066765829669],[-43.34326977255686,-22.805181322250505]]]}"
0000000000000000003b,5.62552916606564,335.0,"{""type"":""Polygon"",""coordinates"":[[[-43.33353271760773,-22.805079810606184],[-43.3286593892761,-22.805028765285897],[-43.328714426568325,-22.800515163759815],[-43.33358760219169,-22.800566139886346],[-43.33353271760773,-22.805079810606184]]]}"
